state,komoditas,lpg
Aceh,3027,1008
Bali,5056,1271
Banten,2066,618
Bengkulu,624,144
DI Yogyakarta,11943,3833
DKI Jakarta,112312,24414
Gorontalo,528,78
Jambi,1200,444
Jawa Barat,41801,12180
Jawa Tengah,17939,4784
Jawa Timur,23990,5464
Kalimantan Barat,2308,342
Kalimantan Selatan,3316,1351
Kalimantan Tengah,1345,303
Kalimantan Timur,6788,4083
Kepulauan Bangka Belitung,528,157
Kepulauan Riau,720,289
Lampung,3511,1042
Maluku,192,26
Maluku Utara,192,117
Nusa Tenggara Barat,240,53
Nusa Tenggara Timur,384,143
Papua,624,2585
Papua Barat,288,26
Riau,6643,26
Sulawesi Selatan,8236,2093
Sulawesi Tengah,528,156
Sulawesi Tenggara,816,264
Sulawesi Utara,1395,502
Sumatera Barat,1827,579
Sumatera Selatan,2836,922
Sumatera Utara,8380,3094
