Analysis_Date,Inflasi,Inti,Bergejolak,Diatur_pemerintah,beras,daging,lpg,telur
1420070400000,6.96,4.99,8.35,12.31,12741,5334,88797,7067
1422748800000,6.29,4.96,6.18,10.91,156333,2784,28513,1706
1425168000000,6.38,5.04,5.87,11.49,95457,1428,36844,3342
1427846400000,6.79,5.04,6.25,13.26,11319,2590,28577,2343
1430438400000,7.15,5.04,8.1,13.35,14772,3558,4412,2134
1433116800000,7.26,5.04,8.83,13.14,7821,11012,8998,6442
1435708800000,7.26,4.86,8.97,13.53,5665,12764,6073,2059
1438387200000,7.18,4.92,9.65,12.32,4674,33486,7462,3058
1441065600000,6.83,5.07,8.52,11.26,6896,9287,16428,1303
1443657600000,6.25,5.02,6.95,9.83,7266,1702,10319,636
1446336000000,4.89,4.77,4.84,5.61,7683,1898,8194,625
1448928000000,3.35,3.95,4.84,0.39,5587,5375,7982,1275
1451606400000,4.14,3.62,6.77,3.48,8884,13182,10750,3567
1454284800000,4.42,3.59,7.87,3.98,12613,7144,7037,693
1456790400000,4.45,3.5,9.59,2.76,8198,3746,6170,795
1459468800000,3.6,3.41,9.44,-0.84,3544,1247,2559,554
1462060800000,33,3.41,8.15,-0.95,6095,6966,5701,2451
1464739200000,3.45,3.49,8.12,-0.5,4620,10796,6807,3996
1467331200000,3.21,3.49,7.14,-0.85,1272,7753,4043,774
1470009600000,2.79,3.32,5.28,-0.91,3063,2964,11320,536
1472688000000,3.07,3.21,6.51,-0.38,1415,1597,15991,531
1475280000000,3.31,3.08,7.54,0.17,2738,1770,29354,364
1477958400000,3.58,3.07,9.14,0.09,1575,850,6142,412
1480550400000,3.02,3.07,5.92,0.21,1157,2538,2793,1285
1483228800000,3.49,3.35,4.13,3.35,1452,1161,2894,446
1485907200000,3.83,3.41,4.46,4.74,993,4985,2066,475
1488326400000,3.61,3.3,2.89,5.5,2262,819,2632,482
1491004800000,4.17,3.28,2.66,8.68,621,692,1103,940
1493596800000,4.33,3.2,3.26,9.14,1628,2266,1558,2932
1496275200000,37,3.13,2.17,10.64,1574,2188,1466,1123
1498867200000,3.88,3.05,1.13,9.27,4899,845,756,537
1501545600000,3.82,2.98,1.05,9.31,3469,734,2376,712
1504224000000,3.72,3,0.47,9.32,2870,810,1795,382
